victims,date,type_of_attack,location,notes,name,age,sex,country
"Alexander Chausov, 15, maleIvan Golub, maleVadim Golub, maleValentine Golub, female","July 7, 2016",Rabid,"Pervomaisk, Rechytsa District, Gomel Region, Belarus",A wolf injured four people and twenty pets.,Valentine Golub,NA,NA,Belarus
"Alexander Chausov, 15, maleIvan Golub, maleVadim Golub, maleValentine Golub, female","July 7, 2016",Rabid,"Pervomaisk, Rechytsa District, Gomel Region, Belarus",A wolf injured four people and twenty pets.,female,NA,female,Belarus
"Child, 7, female","June 8, 2016",Predatory,"Omman Village, Qorveh-e Darjazin District, Razan County, Hamadan Province, Iran",A wolf injured and carried away a 7-year-old girl until pursuing rescuers caused it to flee.,Child,NA,NA,Iran
"Child, 7, female","June 8, 2016",Predatory,"Omman Village, Qorveh-e Darjazin District, Razan County, Hamadan Province, Iran",A wolf injured and carried away a 7-year-old girl until pursuing rescuers caused it to flee.,NA,NA,NA,Iran
"Child, 7, female","June 8, 2016",Predatory,"Omman Village, Qorveh-e Darjazin District, Razan County, Hamadan Province, Iran",A wolf injured and carried away a 7-year-old girl until pursuing rescuers caused it to flee.,female,NA,female,Iran
"Bülent Taşçı, adult, male","June 8, 2016",Unprovoked,"Günbatan, Posof District, Ardahan Province, Turkey.",A herder was injured by a wolf while tending to cattle.,B,NA,NA,Turkey.
"Bülent Taşçı, adult, male","June 8, 2016",Unprovoked,"Günbatan, Posof District, Ardahan Province, Turkey.",A herder was injured by a wolf while tending to cattle.,adult,adult,NA,Turkey.
"Bülent Taşçı, adult, male","June 8, 2016",Unprovoked,"Günbatan, Posof District, Ardahan Province, Turkey.",A herder was injured by a wolf while tending to cattle.,male,NA,male,Turkey.
"Sahib Mamedov, 63, male","May 31, 2016",Predatory,"Galynjag Village, Ismailli District, Azerbaijan","While defending sheep and cattle, a herder was seriously injured by a wolf.",Sahib Mamedov,NA,NA,Azerbaijan
"Sahib Mamedov, 63, male","May 31, 2016",Predatory,"Galynjag Village, Ismailli District, Azerbaijan","While defending sheep and cattle, a herder was seriously injured by a wolf.",NA,NA,NA,Azerbaijan
"Sahib Mamedov, 63, male","May 31, 2016",Predatory,"Galynjag Village, Ismailli District, Azerbaijan","While defending sheep and cattle, a herder was seriously injured by a wolf.",male,NA,male,Azerbaijan
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",Zlyva Hussein,NA,NA,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",adult female,adult,female,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",G,NA,NA,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",adult male,adult,male,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",Sarab Ghazanfar,NA,NA,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",adult male,adult,male,Iran
"Zlyva Hussein, adult femaleGōld Hussein, adult maleSarab Ghazanfar, adult maleAdult male","April 22, 2016",Unprovoked,"Kaveh, Delfan County, Lorestan Province, Iran","A wolf injured four adult residents, two of them in their house.",Adult male,NA,male,Iran
"Aslan Shauhalovu, 35, male","April 13, 2016",Predatory,"Dalakov village, Ingushetia, Russia",A wolf entered a yard where children were playing and bit a man.,Aslan Shauhalovu,NA,NA,Russia
"Aslan Shauhalovu, 35, male","April 13, 2016",Predatory,"Dalakov village, Ingushetia, Russia",A wolf entered a yard where children were playing and bit a man.,NA,NA,NA,Russia
"Aslan Shauhalovu, 35, male","April 13, 2016",Predatory,"Dalakov village, Ingushetia, Russia",A wolf entered a yard where children were playing and bit a man.,male,NA,male,Russia
Five people,"April 2, 2016",Rabid,"Jabdaraq village, Meshginshahr, Ardabil Province, Iran",A wolf killed livestock and dogs and severely injured five people.,Five people,NA,NA,Iran
A Couple with an infant,"March 25, 2016",Rabid,"19th Khoroo, Sukhbaatar District, Mongolia","Two wolves attacked dogs and cows, then a man, woman and infant.",A Couple with an infant,NA,NA,Mongolia
"Rosa Harutyunyan, 75, female","March, 21. 2016",Unprovoked,"Khachik village, Vayots Dzor, Armenia.",A wolf seriously injured an elderly woman in her home.,Rosa Harutyunyan,NA,NA,Armenia.
"Rosa Harutyunyan, 75, female","March, 21. 2016",Unprovoked,"Khachik village, Vayots Dzor, Armenia.",A wolf seriously injured an elderly woman in her home.,NA,NA,NA,Armenia.
"Rosa Harutyunyan, 75, female","March, 21. 2016",Unprovoked,"Khachik village, Vayots Dzor, Armenia.",A wolf seriously injured an elderly woman in her home.,female,NA,female,Armenia.
"Valiko Tagiashvili, 55, male","March 20, 2016",Predatory,"Koshalkhevi Village, Dusheti District, Georgia",A man was believed by a politician to have been attacked and eaten by wolves.,Valiko Tagiashvili,NA,NA,Georgia
"Valiko Tagiashvili, 55, male","March 20, 2016",Predatory,"Koshalkhevi Village, Dusheti District, Georgia",A man was believed by a politician to have been attacked and eaten by wolves.,NA,NA,NA,Georgia
"Valiko Tagiashvili, 55, male","March 20, 2016",Predatory,"Koshalkhevi Village, Dusheti District, Georgia",A man was believed by a politician to have been attacked and eaten by wolves.,male,NA,male,Georgia
Two adults,"February 24, 2016",Rabid,"Yasyrev, Volgodonskoy District, Rostov Oblast, Southern Federal District, Russia,",A wolf injured a woman and later a dog and a man on a farm.,Two adults,adult,NA,NA
"Seyed Hassan Mousavi, 30, male","February 22, 2016",Unprovoked,"Qazvin Province, Iran",Wolves severely injured a cyclist in the mountains.,Seyed Hassan Mousavi,NA,NA,Iran
"Seyed Hassan Mousavi, 30, male","February 22, 2016",Unprovoked,"Qazvin Province, Iran",Wolves severely injured a cyclist in the mountains.,NA,NA,NA,Iran
"Seyed Hassan Mousavi, 30, male","February 22, 2016",Unprovoked,"Qazvin Province, Iran",Wolves severely injured a cyclist in the mountains.,male,NA,male,Iran
"Shepherd, adult, male","January 30, 2016",Predatory,"Batinci, Skopje, Macedonia",A wolf attacked sheep in a barn then seriously wounded a shepherd.,Shepherd,NA,NA,Macedonia
"Shepherd, adult, male","January 30, 2016",Predatory,"Batinci, Skopje, Macedonia",A wolf attacked sheep in a barn then seriously wounded a shepherd.,adult,adult,NA,Macedonia
"Shepherd, adult, male","January 30, 2016",Predatory,"Batinci, Skopje, Macedonia",A wolf attacked sheep in a barn then seriously wounded a shepherd.,male,NA,male,Macedonia
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,Bejshebaj Turgunbayev,NA,NA,Kyrgyzstan
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,NA,NA,NA,Kyrgyzstan
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,male,NA,male,Kyrgyzstan
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,Kanykei Aktanbaeva,NA,NA,Kyrgyzstan
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,NA,NA,NA,Kyrgyzstan
"Bejshebaj Turgunbayev, 55, maleKanykei Aktanbaeva, 29, female","December 21, 2015",Rabid,"Oruk Tam village, Naryn Oblast, Kyrgyzstan",Two wolves injured a man and a woman in separate attacks.,female,NA,female,Kyrgyzstan
"Musa uulu Taalaybek, male","December 2, 2015",Unprovoked,"Kadamjay District, Batken Region, Kyrgyzstan",Wolves hurt a dog owner.,Musa uulu Taalaybek,NA,NA,Kyrgyzstan
"Musa uulu Taalaybek, male","December 2, 2015",Unprovoked,"Kadamjay District, Batken Region, Kyrgyzstan",Wolves hurt a dog owner.,male,NA,male,Kyrgyzstan
"Elchin Mamishov, male","November 30, 2015",Predatory,"Mingachevir, Kalbajar District, Azerbaijan","A wolf injured a shepherd, and attacked those who came to rescue him.",Elchin Mamishov,NA,NA,Azerbaijan
"Elchin Mamishov, male","November 30, 2015",Predatory,"Mingachevir, Kalbajar District, Azerbaijan","A wolf injured a shepherd, and attacked those who came to rescue him.",male,NA,male,Azerbaijan
6 People,"November 29, 2015",Unprovoked,"Lushan, Rudbar County, Gilan Province, Iran","Over two days, wolves injured six people, one severely.",NA,NA,NA,Iran
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,Ilham Mammadov,NA,NA,Azerbaijan
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,NA,NA,NA,Azerbaijan
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,male,NA,male,Azerbaijan
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,Padar Behramov,NA,NA,Azerbaijan
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,NA,NA,NA,Azerbaijan
"Ilham Mammadov, 42, malePadar Behramov, 34, male","October 26, 2015",Predatory,"Novju Village, Agsu District, Azerbaijan",Wolves seriously injured two shepherds.,male,NA,male,Azerbaijan
"Resident, 55, female","October 16, 2015",Rabid,"Öğrendik Village, Ağın District, Elazığ Province, Turkey",A wolf seriously injured a woman in her garden.,Resident,NA,NA,Turkey
"Resident, 55, female","October 16, 2015",Rabid,"Öğrendik Village, Ağın District, Elazığ Province, Turkey",A wolf seriously injured a woman in her garden.,NA,NA,NA,Turkey
"Resident, 55, female","October 16, 2015",Rabid,"Öğrendik Village, Ağın District, Elazığ Province, Turkey",A wolf seriously injured a woman in her garden.,female,NA,female,Turkey
Three adult males,"October 4, 2015",Rabid,"Orechovka Village, Millerovo, Millerovsky District, Rostov Oblast, Russia","A wolf injured a man on a water tower, then injured two men in a nearby yard, with one seriously injured. It also bit dogs and livestock.",Three adult males,adult,male,Russia
"Matthew Nellessen, adult, male","September 23, 2015",Predatory,"Colburn, Wisconsin, US","Wolves attacked but did not injure a hunter, and retreated after one of the pack was shot.",Matthew Nellessen,NA,NA,US
"Matthew Nellessen, adult, male","September 23, 2015",Predatory,"Colburn, Wisconsin, US","Wolves attacked but did not injure a hunter, and retreated after one of the pack was shot.",adult,adult,NA,US
"Matthew Nellessen, adult, male","September 23, 2015",Predatory,"Colburn, Wisconsin, US","Wolves attacked but did not injure a hunter, and retreated after one of the pack was shot.",male,NA,male,US
"Mahaneh Shams, 75, male","July 31, 2015",Predatory,"Buqa'ta Village, Golan Heights, Syria",A wolf attacked and injured farmer in an orchard.,Mahaneh Shams,NA,NA,Syria
"Mahaneh Shams, 75, male","July 31, 2015",Predatory,"Buqa'ta Village, Golan Heights, Syria",A wolf attacked and injured farmer in an orchard.,NA,NA,NA,Syria
"Mahaneh Shams, 75, male","July 31, 2015",Predatory,"Buqa'ta Village, Golan Heights, Syria",A wolf attacked and injured farmer in an orchard.,male,NA,male,Syria
"Abuzer Baydemir, adult, male","July 8, 2015",Predatory,"Yarpuzlu Village, Sincik District, Adıyaman Province, Turkey",A wolf seriously injured a man in his garden.,Abuzer Baydemir,NA,NA,Turkey
"Abuzer Baydemir, adult, male","July 8, 2015",Predatory,"Yarpuzlu Village, Sincik District, Adıyaman Province, Turkey",A wolf seriously injured a man in his garden.,adult,adult,NA,Turkey
"Abuzer Baydemir, adult, male","July 8, 2015",Predatory,"Yarpuzlu Village, Sincik District, Adıyaman Province, Turkey",A wolf seriously injured a man in his garden.,male,NA,male,Turkey
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,Dhakira Ghasemi,NA,NA,Iran
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,NA,NA,NA,Iran
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,female,NA,female,Iran
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,Abolfazl Rahimi,NA,NA,Iran
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,NA,NA,NA,Iran
"Dhakira Ghasemi, 5, femaleAbolfazl Rahimi, 4, male","July 6, 2015",Predatory,"Razan County, Hamadan Province, Iran",A wolf or wolves injured two children in two separate attacks.,male,NA,male,Iran
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",Mehmet Karasu,NA,NA,Turkey
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",NA,NA,NA,Turkey
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",male,NA,male,Turkey
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",Ali Yasar,NA,NA,Turkey
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",NA,NA,NA,Turkey
"Mehmet Karasu, 70, maleAli Yasar, 65, male","June 20, 2015",Predatory,"Bayındır, Mecitözü, Çorum Province, Turkey","A wolf attacked people on their way to early morning prayer, injuring two.",male,NA,male,Turkey
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,Yamanurappa Basappa Mushigeri,NA,NA,India
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,NA,NA,NA,India
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,male,NA,male,India
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,Sakrappa Hanumappa Itagi,NA,NA,India
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,NA,NA,NA,India
"Yamanurappa Basappa Mushigeri, 30, maleSakrappa Hanumappa Itagi, 12, male","June 9, 2015",Predatory,"Vadageri village, Ameengad, India",A wolf attacked and injured a shepherd and a young farmer.,male,NA,male,India
Five people,"May 9, 2015",Rabid,"Nimrod Fortress National Park, Golan Heights, Israel",A wolf injured 5 people in 3 separate attacks.,Five people,NA,NA,Israel
Two adults,"April 26, 2015",Unprovoked,"Strelichevo Village, Khoiniki District, Gomel Region, Belarus","A wolf killed a dog outside a couple's home, then tried but failed to get inside.",Two adults,adult,NA,Belarus
"Lima Ankudinova, 77, female","April 7, 2015",Predatory,"Borovitsa, Central Russia",A wolf killed and partially ate an elderly woman.,Lima Ankudinova,NA,NA,Central Russia
"Lima Ankudinova, 77, female","April 7, 2015",Predatory,"Borovitsa, Central Russia",A wolf killed and partially ate an elderly woman.,NA,NA,NA,Central Russia
"Lima Ankudinova, 77, female","April 7, 2015",Predatory,"Borovitsa, Central Russia",A wolf killed and partially ate an elderly woman.,female,NA,female,Central Russia
Six people,"April 6, 2015",Predatory,"Maysan Governorate, Iraq","A wolf pack attacked a village, injuring 6 people, some seriously.",Six people,NA,NA,Iraq
Five people,"March 24, 2015",Predatory,"Chiva village, Vayots Dzor, Armenia",A wolf attacked and injured five farmers in a field.,Five people,NA,NA,Armenia
"Giorgi Gogiberidze, 23, male","March 7, 2015",Unprovoked,"Kvelobani Village, Chokhatauri District, Guria Region, Georgia",A wolf injured a man who had attempted to chase it out of a yard.,Giorgi Gogiberidze,NA,NA,Georgia
"Giorgi Gogiberidze, 23, male","March 7, 2015",Unprovoked,"Kvelobani Village, Chokhatauri District, Guria Region, Georgia",A wolf injured a man who had attempted to chase it out of a yard.,NA,NA,NA,Georgia
"Giorgi Gogiberidze, 23, male","March 7, 2015",Unprovoked,"Kvelobani Village, Chokhatauri District, Guria Region, Georgia",A wolf injured a man who had attempted to chase it out of a yard.,male,NA,male,Georgia
Two families,"January 25, 2015",Rabid,"Outside Wabush, Labrador, Canada","A wolf charged snowmobilers on a trail, no injuries.",Two families,NA,NA,Canada
Three adults,"January 21, 2015",Rabid,"Medvedev, Svietlahorsk District, Belarus",A wolf injured three adults and a dog.,Three adults,adult,NA,Belarus
"Amankhan Amirov, Ozat Kyrykbaev","January 16, 2015",Predatory,"Jeldiqara village, Mynbulak rural district, East Kazakhstan Region, Kazakhstan",Wolves entered the village at night and injured two men.,Amankhan Amirov,NA,NA,Kazakhstan
"Amankhan Amirov, Ozat Kyrykbaev","January 16, 2015",Predatory,"Jeldiqara village, Mynbulak rural district, East Kazakhstan Region, Kazakhstan",Wolves entered the village at night and injured two men.,Ozat Kyrykbaev,NA,NA,Kazakhstan
Two adults,"January 14, 2015",Rabid,"Zheldikar, Ayagoz District, East Kazakhstan Region, Kazakhstan","A wolf attacked two men, one of whom died from rabies.",Two adults,adult,NA,Kazakhstan
"Ragif Mirzoyev, 22, male",January 2015,Rabid,"Chirchik District, Salyan Rayon, Azerbaijan",A wolf bit a man who was protecting sheep; the man died from rabies.,Ragif Mirzoyev,NA,NA,Azerbaijan
"Ragif Mirzoyev, 22, male",January 2015,Rabid,"Chirchik District, Salyan Rayon, Azerbaijan",A wolf bit a man who was protecting sheep; the man died from rabies.,NA,NA,NA,Azerbaijan
"Ragif Mirzoyev, 22, male",January 2015,Rabid,"Chirchik District, Salyan Rayon, Azerbaijan",A wolf bit a man who was protecting sheep; the man died from rabies.,male,NA,male,Azerbaijan
"Man, 32","December 23, 2014",Predatory,Kyrgyzstan,A wolf attacked a dog then injured its owner outside a cattle fence.,Man,NA,NA,Kyrgyzstan
"Man, 32","December 23, 2014",Predatory,Kyrgyzstan,A wolf attacked a dog then injured its owner outside a cattle fence.,NA,NA,NA,Kyrgyzstan
"Resident, adult, male","December 20, 2014",Predatory,"Novokazicinsk, Zabaykalsky Krai, Siberian Federal District, Russia",A wolf attacked a resident.,Resident,NA,NA,Russia
"Resident, adult, male","December 20, 2014",Predatory,"Novokazicinsk, Zabaykalsky Krai, Siberian Federal District, Russia",A wolf attacked a resident.,adult,adult,NA,Russia
"Resident, adult, male","December 20, 2014",Predatory,"Novokazicinsk, Zabaykalsky Krai, Siberian Federal District, Russia",A wolf attacked a resident.,male,NA,male,Russia
Three adults,"December 10, 2014",Predatory,"Mikhailovka Village, Kamensky District, Rostov Oblast, Russia","A wolf entered a courtyard and bit a man and his dogs; while being chased away, it bit two women.",Three adults,adult,NA,Russia
"Bolot Zhunushaliev, teenager, male","November 23, 2014",Unprovoked,"Ak-Muz Village, At-Bashy District, Kyrgyzstan",A wolf attacked a horse-riding teenager who was tending to livestock; no serious injury.,Bolot Zhunushaliev,NA,NA,Kyrgyzstan
"Bolot Zhunushaliev, teenager, male","November 23, 2014",Unprovoked,"Ak-Muz Village, At-Bashy District, Kyrgyzstan",A wolf attacked a horse-riding teenager who was tending to livestock; no serious injury.,teenager,NA,NA,Kyrgyzstan
"Bolot Zhunushaliev, teenager, male","November 23, 2014",Unprovoked,"Ak-Muz Village, At-Bashy District, Kyrgyzstan",A wolf attacked a horse-riding teenager who was tending to livestock; no serious injury.,male,NA,male,Kyrgyzstan
"Şükran Aliyev, adult, male","October 29, 2014",Unprovoked,"Mireshelli Village, Ağdam District, Azerbaijan",A wolf threatened a resident and exchanged injuries with a man who came to help.,NA,NA,NA,Azerbaijan
"Şükran Aliyev, adult, male","October 29, 2014",Unprovoked,"Mireshelli Village, Ağdam District, Azerbaijan",A wolf threatened a resident and exchanged injuries with a man who came to help.,adult,adult,NA,Azerbaijan
"Şükran Aliyev, adult, male","October 29, 2014",Unprovoked,"Mireshelli Village, Ağdam District, Azerbaijan",A wolf threatened a resident and exchanged injuries with a man who came to help.,male,NA,male,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,Nur,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,NA,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,female,NA,female,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,NA,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,female,NA,female,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,V,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,NA,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,male,NA,male,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,Ayg,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,NA,NA,NA,Azerbaijan
"Nurçiçək Yusif, 20, femaleƏfsanə Yusif, 19, femaleVüsal Yusif, 16, maleAygül Yusif, 11, female","October 27, 2014",NA,"Jalilabad District, Azerbaijan",A wolf injured a girl in the family yard then injured three other family members who tried to save each other.,female,NA,female,Azerbaijan
"Dijanu Kurtović, 33, female","September 26, 2014",Unprovoked,"Drnis, Šibenik-Knin County, Dalmatia, Croatia",A wolf seriously injured a woman who was walking her dog.,Dijanu Kurtovi,NA,NA,Croatia
"Dijanu Kurtović, 33, female","September 26, 2014",Unprovoked,"Drnis, Šibenik-Knin County, Dalmatia, Croatia",A wolf seriously injured a woman who was walking her dog.,NA,NA,NA,Croatia
"Dijanu Kurtović, 33, female","September 26, 2014",Unprovoked,"Drnis, Šibenik-Knin County, Dalmatia, Croatia",A wolf seriously injured a woman who was walking her dog.,female,NA,female,Croatia
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Vinod,NA,NA,India
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Yograj,NA,NA,India
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Sewaram,NA,NA,India
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Perkasha,NA,NA,India
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Bablu,NA,NA,India
"Vinod, Yograj, Sewaram, Perkasha, Bablu, Savitri","September 26, 2014",Rabid,"Hashampur Village, Muzaffarnagar district, Uttar Pradesh, India",The same wolf from the previous day's attack injured six field workers.,Savitri,NA,NA,India
6 adults,"August 26, 2014",Predatory,"Yıldızeli, Sivas, Turkey","In three separate attacks, a wolf or wolves injured six adults, including two farmers attacked from behind and a family of four on a picnic.",NA,adult,NA,Turkey
Six villagers,"August 13, 2014",Predatory,"Kalazhuole village in Altay, China","In the early morning, 5 wolves attacked livestock in the village and subsequently injured 6 villagers, 2 seriously.",Six villagers,NA,NA,China
